,city,country,lat,lon,temp,humidity,wind_speed,cloudiness
0,Mackay,CA,53.65,-115.58,26.6,100,10.29,90
1,Gamba,CN,28.28,88.52,38.09,27,5.84,8
2,Ushuaia,AR,-54.81,-68.31,35.6,93,12.75,90
3,Bluff,AU,-23.58,149.07,81.2,42,3.27,24
4,Port Alfred,ZA,-33.59,26.89,78.86,68,9.13,0
5,Butaritari,KI,3.07,172.79,84.8,100,4.38,0
6,Castro,CL,-42.48,-73.76,43.04,91,11.25,76
7,Ancud,CL,-41.87,-73.83,43.94,80,10.76,48
8,Westport,IE,53.8,-9.52,55.4,100,19.46,90
9,Cherskiy,RU,68.75,161.3,23.51,92,4.05,8
10,Tuktoyaktuk,CA,69.44,-133.03,17.57,99,9.86,20
11,Farsund,NO,58.09,6.8,53.84,100,18.81,92
12,Port Elizabeth,US,39.31,-74.98,70.61,97,4.7,75
13,Nikolskoye,RU,59.7,30.79,50.0,76,17.9,75
14,Jamestown,AU,-33.21,138.6,56.99,70,12.88,64
15,Santiago,CL,-33.44,-70.65,51.8,81,3.36,75
16,Yevlax,AZ,40.61,47.15,70.49,56,4.05,0
17,Khatanga,RU,71.98,102.47,35.57,98,15.84,92
18,Qaanaaq,GL,77.48,-69.36,20.72,100,9.35,80
19,Constitucion,MX,23.99,-104.67,44.66,93,6.29,0
20,Nishihara,JP,35.74,139.53,73.49,67,4.7,75
21,Vila Velha,BR,-3.71,-38.6,78.8,74,11.41,20
22,Kshenskiy,RU,51.85,37.72,55.1,67,7.34,88
23,Hobart,AU,-42.88,147.33,46.4,52,17.22,40
24,Hermanus,ZA,-34.42,19.24,72.56,53,3.09,0
25,Bredasdorp,ZA,-34.53,20.04,66.2,68,20.8,20
26,Albany,US,42.65,-73.75,60.85,86,6.93,90
27,Alice Springs,AU,-23.7,133.88,71.6,60,9.17,68
28,Puerto Ayora,EC,-0.74,-90.35,68.87,100,10.76,56
29,Andijan,UZ,40.76,72.37,50.0,81,6.93,75
30,Ahipara,NZ,-35.17,173.16,51.32,99,5.06,8
31,Lebu,ET,8.96,38.73,71.6,40,16.11,75
32,Carnarvon,ZA,-30.97,22.13,88.22,10,8.34,8
33,Tasiilaq,GL,65.61,-37.64,30.2,86,8.05,88
34,Amalapuram,IN,16.58,82.0,94.07,49,10.31,56
35,Ribeira Grande,PT,38.52,-28.7,71.6,78,12.75,20
36,Ilulissat,GL,69.22,-51.1,23.0,53,3.36,64
37,Codrington,AU,-28.95,153.24,66.17,77,4.72,0
38,Vila do Maio,CV,15.13,-23.22,78.8,88,6.93,40
39,Point Fortin,TT,10.16,-61.68,78.8,94,4.7,0
40,Baoshan,CN,31.41,121.49,72.54,60,6.71,0
41,Punta Arenas,CL,-53.16,-70.91,35.6,69,13.87,40
42,Kavieng,PG,-2.57,150.8,83.45,100,2.04,12
43,San Quintin,PH,17.54,120.52,86.0,66,2.24,20
44,Kapaa,US,22.08,-159.32,76.93,79,10.29,20
45,East London,ZA,-33.02,27.91,77.0,65,9.17,0
46,Tiksi,RU,71.64,128.87,29.27,91,7.56,0
47,Rock Sound,BS,24.9,-76.2,83.45,99,12.15,88
48,Maceio,BR,-9.67,-35.74,69.8,94,2.24,20
49,Snezhnogorsk,RU,69.19,33.23,39.2,69,8.95,75
50,Saint-Pierre,FR,48.95,4.24,57.54,87,6.93,0
51,Talnakh,RU,69.49,88.39,34.67,94,7.9,88
52,Ponta do Sol,BR,-20.63,-46.0,62.66,84,2.98,64
53,Longyearbyen,NO,78.22,15.63,21.2,79,5.82,75
54,Soligalich,RU,59.08,42.29,42.77,76,14.16,12
55,Hilo,US,19.71,-155.08,65.46,93,10.29,90
56,Busselton,AU,-33.64,115.35,71.12,78,9.91,12
57,Victoria,BN,5.28,115.24,87.8,74,5.82,75
58,Moranbah,AU,-22.0,148.04,84.08,39,2.75,56
59,New Norfolk,AU,-42.78,147.06,46.4,52,17.22,40
60,Parker,US,39.52,-104.76,36.7,96,8.05,90
61,Khudumelapye,BW,-23.91,24.95,78.77,31,12.66,0
62,Mataura,NZ,-46.19,168.86,52.85,62,19.64,24
63,Dudinka,RU,69.41,86.18,36.38,94,10.54,80
64,Oussouye,SN,12.49,-16.54,79.68,94,2.24,20
65,Haverfordwest,GB,51.8,-4.97,57.2,76,20.8,75
66,Santa Maria,BR,-29.69,-53.81,67.79,95,8.86,20
67,Mecca,SA,21.43,39.83,99.47,31,5.77,0
68,Kamenka,RU,53.19,44.05,44.84,89,6.51,92
69,Hua Hin,TH,12.57,99.96,87.8,66,5.82,20
70,Tepetzintla,MX,21.16,-97.85,72.47,98,3.38,68
71,Saint-Philippe,CA,45.36,-73.48,51.28,100,3.6,90
72,Honningsvag,NO,70.98,25.97,41.0,75,17.22,40
73,Airai,TL,-8.93,125.41,83.36,33,1.74,0
74,Guerrero Negro,MX,27.97,-114.04,59.87,100,6.4,0
75,Jedrzejow,PL,50.64,20.3,56.0,74,4.5,12
76,Cape Town,ZA,-33.93,18.42,66.2,68,9.17,40
77,Rikitea,PF,-23.12,-134.97,72.92,100,14.34,48
78,Yellowknife,CA,62.45,-114.38,19.4,92,2.24,5
79,Ambilobe,MG,-13.19,49.05,91.1,36,15.39,0
80,Vardo,US,39.62,-77.74,69.62,96,4.54,90
81,Aklavik,CA,68.22,-135.01,21.2,79,2.24,5
82,Dikson,RU,73.51,80.55,38.45,94,17.92,64
83,Inuvik,CA,68.36,-133.71,21.2,79,2.24,5
84,Anadyr,RU,64.73,177.51,44.6,75,13.42,75
85,Atuona,PF,-9.8,-139.03,80.66,99,18.81,8
86,Isangel,VU,-19.55,169.27,76.43,97,10.25,44
87,Barrow,AR,-38.31,-60.23,46.82,80,15.57,0
88,Victoria,BN,5.28,115.24,87.8,74,5.82,75
89,Kumluca,TR,36.37,30.29,69.41,36,2.08,0
90,Izamal,MX,20.93,-89.02,73.4,94,4.7,5
91,Ekhabi,RU,53.51,142.97,45.65,96,6.4,88
92,Guarapari,BR,-20.67,-40.5,75.2,83,12.75,40
93,Georgetown,GY,6.8,-58.16,73.4,100,2.24,0
94,Kloulklubed,PW,7.04,134.26,86.0,66,6.89,75
95,Margate,AU,-43.03,147.26,46.4,52,17.22,40
96,Khandyga,RU,62.65,135.58,23.6,82,2.71,48
